ID,POST_ID,CREATED_TIME,LIKE_COUNT,MESSAGE
1123053231939134_3184654108416157,119630781428450_1123053231939134,2022-09-24T12:20:55+0000,1,რამიყვარს  კომფორტული სესხებიი 😀😀
1123053231939134_575619094253561,119630781428450_1123053231939134,2022-09-23T18:57:12+0000,1,ჩემი ბანკი❤️❤️
1123053231939134_1061262781251340,119630781428450_1123053231939134,2022-09-23T18:33:11+0000,0,Uiuiui
1123053231939134_1475462526259299,119630781428450_1123053231939134,2022-09-24T19:54:25+0000,0,❤️❤️❤️
1123053231939134_2273315316168710,119630781428450_1123053231939134,2022-09-23T19:22:11+0000,0,😍😍😍😍😍
1123053231939134_401448595496050,119630781428450_1123053231939134,2022-09-24T15:16:56+0000,1,ვერ ვიტან ამ ბანკს
1123053231939134_460338672810727,119630781428450_1123053231939134,2022-09-23T20:25:19+0000,2,Tyuilad nu laparakobt 15 welia am banktan makvs urtiertoba da roca damjitda sesxi mashin ver gamoviyene me mahalitad am banktan yvelanari urtiertobas vwyvet da chems megobrebsac vurchev ro am banktan tavi shors daikavon
1123053231939134_1201778324026948,119630781428450_1123053231939134,2022-09-26T12:05:18+0000,0,ჩემი ჭკვიანიიიი❤️ მარააა სად დაიკარგე კაცმააა არ იცის 😃
1123053231939134_1824014524613025,119630781428450_1123053231939134,2022-09-24T16:08:04+0000,0,აფიორა და ძარცვაა ხალხის ეს ყველაფერი 😒😒
1123053231939134_655070312521245,119630781428450_1123053231939134,2022-09-24T09:00:37+0000,1,გამარტივდა კი 24 პროცენტში სამომხარებლო. ბანკი კი არა ჯოჯოხეთია
5601486776576129_5468550203241976,119630781428450_5601486776576129,2022-09-23T17:57:44+0000,0,ბრავო🥰🇬🇪🇬🇪🇬🇷
5601486776576129_381159257398180,119630781428450_5601486776576129,2022-09-23T18:16:06+0000,0,მაკედონია უტევდა. გოლები საქართველოს სასარგებლოდ გავიტანეთ. გოოოლლლ
5601486776576129_1357549181726326,119630781428450_5601486776576129,2022-09-23T17:59:43+0000,0,წარმატებებიიი 🏆🏆🏆🏆
5601486776576129_755373608903912,119630781428450_5601486776576129,2022-09-23T18:59:07+0000,0,გილოცავთ
5601486776576129_505615627591768,119630781428450_5601486776576129,2022-09-23T18:23:20+0000,0,gilocav Saqartvelo🇬🇪⚽⚽⚽🥇
5601486776576129_819970035853224,119630781428450_5601486776576129,2022-09-23T18:05:56+0000,0,წარმატებებიი
5601486776576129_765055064793337,119630781428450_5601486776576129,2022-09-23T18:04:24+0000,0,Warmatebebi gilocavt👏✨✨♥️♥️♥️
5601486776576129_1065597657480964,119630781428450_5601486776576129,2022-09-23T18:42:57+0000,0,აბა ფეხბურთის მაგინებლები სად არიან ეხლა.მოგებულსაც და წაგებულსაც ერთნაირად უნდა უგულშემატკივრო.წინ საქართველო😘
5601486776576129_1490051884771748,119630781428450_5601486776576129,2022-09-23T18:01:15+0000,0,როგორ მიხარია წარმატებები
5601486776576129_5463413133766091,119630781428450_5601486776576129,2022-09-23T18:28:23+0000,0,მაგარია
5601486776576129_5414842298607548,119630781428450_5601486776576129,2022-09-23T18:05:12+0000,0,ბრაოოოოოოოოი
5601486776576129_1088181245423465,119630781428450_5601486776576129,2022-09-23T19:23:54+0000,0,გილოცავ ჩემო ქვეყანა ❤️
5601486776576129_426958542671085,119630781428450_5601486776576129,2022-09-23T17:55:43+0000,0,ზივზივაძე mvp
5601486776576129_1145686162998442,119630781428450_5601486776576129,2022-09-24T13:53:24+0000,0,GILOCAVT
5601486776576129_495023568822678,119630781428450_5601486776576129,2022-09-23T18:15:22+0000,0,‼️❣️♥️👍👌👏♥️❣️‼️
5601486776576129_633558284900845,119630781428450_5601486776576129,2022-09-23T18:23:45+0000,1,👏🇬🇪
5601486776576129_1293922194700684,119630781428450_5601486776576129,2022-09-23T18:12:09+0000,0,🧡🧡🧡
5601486776576129_423833823216538,119630781428450_5601486776576129,2022-09-23T20:45:18+0000,0,🙏🙏🙏
5601486776576129_388930673444194,119630781428450_5601486776576129,2022-09-23T18:01:59+0000,0,👏🏼✊🏻✨😍😍😍😍😍❤️
5601486776576129_631135492006357,119630781428450_5601486776576129,2022-09-23T18:21:38+0000,0,❤️
5601486776576129_1123714775240439,119630781428450_5601486776576129,2022-09-23T18:36:19+0000,0,👏👏👏👏😘🙏❤️
5601486776576129_461645265912058,119630781428450_5601486776576129,2022-09-23T18:10:46+0000,0,👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽
5601486776576129_3324923977826158,119630781428450_5601486776576129,2022-09-23T17:58:03+0000,0,👏❤️
5601486776576129_858205415562816,119630781428450_5601486776576129,2022-09-23T17:57:45+0000,0,🤩👏🏻👏🏻
5601486776576129_616973753442110,119630781428450_5601486776576129,2022-09-23T17:56:33+0000,0,👍
5601486776576129_2383965928409139,119630781428450_5601486776576129,2022-09-23T17:56:47+0000,0,👏🏻👏🏻
5601486776576129_865836604380784,119630781428450_5601486776576129,2022-09-23T18:12:02+0000,0,👏🏼👏🏼👏🏼👏🏼👏🏼
5601486776576129_1285137185590765,119630781428450_5601486776576129,2022-09-23T18:15:36+0000,0,👏👏🙏❤️❤️❤️
5601486776576129_390340036639369,119630781428450_5601486776576129,2022-09-24T05:28:10+0000,0,დაიწყო საქართველოს აღმავლობა გაბრწყინებას ულოცავ ჩემს საქართველოს.
5601486776576129_612629927084843,119630781428450_5601486776576129,2022-09-23T22:41:16+0000,0,საქართველოზე პროჭი ბანი თუა მანახეთ დღეს სესხის დღე მქონდა თან დაბადების დღე არ კი მომილოცეს ამ ნაბზრებმა აგენმა....
5601486776576129_2653997708068982,119630781428450_5601486776576129,2022-09-23T18:22:33+0000,0,ki ar gavedit viyavit da vart  pirvelze
5601486776576129_1155565395066084,119630781428450_5601486776576129,2022-09-23T18:20:07+0000,0,ჯერ თურქეთს და მერე ყაზახეთი-საბერძნეთის გამარჯვებულს
5601486776576129_458873046184981,119630781428450_5601486776576129,2022-09-23T18:18:34+0000,0,მეორე გოლი გუნდური თამაშის შედეგი იყო.წარმატებები საქართველოს ნაკრებს...
5601486776576129_620080052976378,119630781428450_5601486776576129,2022-09-23T18:14:25+0000,0,⚽️⚽️ გილოცავთ🥳
5601486776576129_341922858094961,119630781428450_5601486776576129,2022-09-23T18:04:17+0000,0,მეგრელებს როგორ უნდა გაქონდეს ყველაფერი 😂😂😂😂😂
5601486776576129_796711681642013,119630781428450_5601486776576129,2022-09-23T18:01:43+0000,0,გილიცავთ ეს ერთი და სხვა მრავალი
5601486776576129_625822909085087,119630781428450_5601486776576129,2022-09-23T17:59:04+0000,0,საბერძნეთმა ვერ უნდა მოიგოს ორივე და თურქეთს +2 ბურთი უნდა ამოვუქაჩოთ და თბილისში იქნება პლეიფ(ებ)ი!!
5601486776576129_878203703163966,119630781428450_5601486776576129,2022-09-23T17:58:48+0000,0,არის 2 გოლიი ❤
5601486776576129_1725534974500400,119630781428450_5601486776576129,2022-09-23T17:58:42+0000,0,ბუდუ საღოლ სული და გული დადო ❤️❤️❤️
5601486776576129_488620239524205,119630781428450_5601486776576129,2022-09-23T17:57:13+0000,0,"ბრავო ბიჭებო!!!⚽️⚽️⚽️
#არგაჩერდესაქართველო!!!🇬🇪🇬🇪🇬🇪"
5601416899916450_494641872170426,119630781428450_5601416899916450,2022-09-23T17:32:17+0000,18,ყველა გული ეკუთვნის დღეს ბუდუ ზივზივაძეს ! ❤️
5601416899916450_621621196214737,119630781428450_5601416899916450,2022-09-23T17:28:25+0000,6,"ზივზივაძეს ყოჩაღ, რა პასი მისცა."
5601416899916450_2055741147959307,119630781428450_5601416899916450,2022-09-23T17:36:17+0000,0,bravo
5601416899916450_372301274981417,119630781428450_5601416899916450,2022-09-23T17:31:30+0000,2,ყველას მთელ გუნდს ყოჩაღ 🤗❤❤❤  კვარა ყოჩაღ
5601416899916450_655386539192396,119630781428450_5601416899916450,2022-09-23T18:14:43+0000,0,კაი რა ❤️🫶🏻ბრავო ✌️
5601416899916450_1288186858594759,119630781428450_5601416899916450,2022-09-23T17:26:48+0000,1,როგორ გამიიხარდააააააა
5601416899916450_1046774536014068,119630781428450_5601416899916450,2022-09-23T17:26:23+0000,1,ჩვენი ოქროს ბიჭი♥️♥️
5601416899916450_1130555651209802,119630781428450_5601416899916450,2022-09-23T17:27:15+0000,0,Gooooool bravoooo 👏🏻👏🏻👏🏻⚽
5601416899916450_599677255215413,119630781428450_5601416899916450,2022-09-23T17:48:33+0000,1,"მაჩვენეთ რააა მისი გოლიიიი, გამომრჩაააა 🫣🫣🫣"
5601416899916450_824968755186496,119630781428450_5601416899916450,2022-09-23T17:45:40+0000,0,კვარააა❤️
5601416899916450_1080290215955294,119630781428450_5601416899916450,2022-09-23T17:31:02+0000,0,საქართველოს სიამაყე ხარ👌
5601416899916450_2916903255283402,119630781428450_5601416899916450,2022-09-23T17:29:35+0000,0,Sagol dzmaa👏👏👏👏👏👏
5601416899916450_482905176832129,119630781428450_5601416899916450,2022-09-23T17:53:10+0000,1,❤️❤️❤️❤️❤️ Gilocavt
5601416899916450_1202181823663398,119630781428450_5601416899916450,2022-09-23T18:23:35+0000,0,წარმატებები ჩვენს ბიჭებს
5601416899916450_1580715539051893,119630781428450_5601416899916450,2022-09-23T17:28:11+0000,0,ბრავო❤❤❤❤👏👏👏👏👏
5601416899916450_676319827257246,119630781428450_5601416899916450,2022-09-23T17:35:55+0000,0,Excelente mi Georgia vamos a ganar !♥️♥️♥️
5601416899916450_670253228081781,119630781428450_5601416899916450,2022-09-23T17:25:45+0000,1,⚽🧡
5601416899916450_673249947081862,119630781428450_5601416899916450,2022-09-23T18:18:07+0000,1,⚽🙏🙏
5601416899916450_3266966586852357,119630781428450_5601416899916450,2022-09-23T18:45:08+0000,0,🌟❤️‍🔥❤️‍🔥🫶🏼
5601416899916450_399691912341701,119630781428450_5601416899916450,2022-09-23T17:33:24+0000,0,👏👏👏❤️❤️❤️❤️❤️❤️🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻
5601416899916450_397862999198137,119630781428450_5601416899916450,2022-09-23T18:27:27+0000,0,❤❤❤❤❤❤🇬🇪🇬🇪🇬🇪🇬🇪🇬🇪🇬🇪👏👏👏👏
5601416899916450_613361890576944,119630781428450_5601416899916450,2022-09-23T17:27:53+0000,0,💓💓💓💓🎊💫
5601416899916450_416191643973695,119630781428450_5601416899916450,2022-09-23T17:32:23+0000,0,👏👏👏👏👏👏
5601416899916450_1241495249985917,119630781428450_5601416899916450,2022-09-23T17:30:51+0000,0,👏👏👏
5601416899916450_1143383476614038,119630781428450_5601416899916450,2022-09-23T17:28:31+0000,0,❤️🇬🇪👏
5601416899916450_634153434978764,119630781428450_5601416899916450,2022-09-23T18:07:15+0000,0,👏👏👏👏👍👌🤩
5601416899916450_1085006525473395,119630781428450_5601416899916450,2022-09-23T18:10:16+0000,0,✌️✌️👍
5601416899916450_830287278341853,119630781428450_5601416899916450,2022-09-23T17:31:44+0000,0,💙💙
5601416899916450_466682425387220,119630781428450_5601416899916450,2022-09-23T17:25:30+0000,0,🥳🥳🥳🥳🥳🥳
5601416899916450_759158245379416,119630781428450_5601416899916450,2022-09-23T18:24:00+0000,0,👍👍👍
5601416899916450_512922750658942,119630781428450_5601416899916450,2022-09-23T17:52:36+0000,0,👏👏👏👏
5601416899916450_496251068667280,119630781428450_5601416899916450,2022-09-23T17:25:05+0000,0,🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀
5601416899916450_2925660030912754,119630781428450_5601416899916450,2022-09-23T17:37:39+0000,0,👏👏
5601416899916450_1131462134159357,119630781428450_5601416899916450,2022-09-23T17:27:07+0000,0,👏👏👏👏
5601416899916450_797704404686543,119630781428450_5601416899916450,2022-09-23T17:27:39+0000,1,ეს ბიჭი გადაგვრევს ⚽️⚽️⚽️
5601416899916450_654054206026533,119630781428450_5601416899916450,2022-09-25T13:26:18+0000,0,ფეხბურთი კი არა კოლმეურნეობის ფილიალის კარი რატო არასდროს არ იღება ბანკომატთან წვდომა რომ გვქონდეს? თუ სალონის ხართ და აღარ გჭირდებათ  კარი
5601416899916450_5799156986816200,119630781428450_5601416899916450,2022-09-25T03:58:23+0000,1,"საქართველოს ბანკი • Bank of Georgia საქართველოს ბანკი დაცვას მიხედე, დაცვას 😉"
