ID,LIKE_COUNT,MESSAGE
5601486776576129_1450823435404030,0,Congratulations its great
5601486776576129_839505524090550,0,Are you still fans of Magreli
5600715159986624_623744202555383,2,May God help us Rejoice you all said what you had to say
5595599940498146_1158662118016679,0,Victory guys Georgia will be proud of you 
5595599940498146_593578029170335,0,It is the greatest generation and all this needs to be revealed Good luck guys
5580560688668738_1133047907398661,13,Good luck Being an archeologist is my unfulfilled dream and field of interest
5580560688668738_637452024486029,0,Why arent there tours we would love to see
5569729976418476_1262550867650826,0,Good luck gurus 
5561237947267679_1186148235276005,0,Po Mne Gruzinskie accompanied by Takimi Trjukam budut na pervom mesthe v mire vsegda 
5554107531314054_647168299936581,2,I want to go out 
5554107531314054_1264182044328456,2,They wont win today with such a shameful game They dont have 3 Kulian shooters There is complete chaos in the team
5553971831327624_475247434459067,0,Its just a shame that the Bulgarian national team will win
5548961451828662_630170875174834,4,I think the bad luck is over Thank you very much to the boys Zuros and the entire staff Especially the fans Georgia ahead 
5548961451828662_1264923471004895,0,I congratulate Georgia good luck
5548961451828662_611735057256327,0,Turks are in shock 
5548958645162276_493134122178520,1, Thanks guys 
5303737593017717_577194637103397,0,Good luck guys
5303737593017717_318278803837844,0,Lets go guys lets achieve success Congratulations to the Georgian national team on their victory today
5303737593017717_696084031489536,0,Who wants more in Revan
5300985373292939_713393963275986,0,You cant build freedom and happiness on the misfortunes of others
5295371487187661_739611960496402,0,The children of Zugdidi 3rd public school really deserve this
5295905850467558_589233115795895,0,Where is Bekauri  Good luck proud Georgians 
5294191277305682_993130204679352,0,What did you dream about this  These five and many more 
5284085144982962_704569574166764,1,Freedom needs thinking not fighting
1318811351510381_1318816174843232,5,Do you have all the domains occupied D I think until 2030 D D D
1311404628917720_1311868542204662,0,Will it be a problem if I send it on Monday
1311404628917720_1313572852034231,0,I was sad because I didnt know about this project I was also called Dhemi Santa
1279073962150787_1280223845369132,1,All seasons are beautiful in Abastuman I love autumn Abastuman is strewn with all kinds of leaves Im not saying anything about summer and winter
1279073962150787_1280174595374057,0,Why are coniferous trees cut down on the slopes Or why the restoration of the deforested area is not underway otherwise I already know that Abastumani and Georgia are cool
1279073962150787_1279381322120051,1,My perfume 3
1270952952962888_1271705556220961,3,It cant be better than seeing it from the plane 
1270952952962888_1272009372857246,0,Im holding this zapkhuli and its very cool Ik everyone should see it
1270952952962888_1272653926126124,0,Can I watch it on Android
1270952952962888_1272000402858143,0,Georgia is really beautiful beautiful Georgia where is the other Georgia
1268057569919093_1270995906291926,0,Such pedagogy is proud and I was pleased that such a precious person is my sons godfather Nikolozi Daiko
1253955227995994_1255362897855227,0,httptsstsfacebooktsomeverythinginterestinginonegroup
1246464522078398_1248160598575457,0,May the Lord bless youGood luck
1226728530718664_1227063144018536,0,The best bank
1225237377534446_1225344714190379,1,Not fonts simplify ATMs there is no more time
1221042397953944_1222014817856702,0,Tato had lunch
1211535928904591_1211960072195510,0,May his grace reach all of Georgia
1207665342624983_1207849849273199,1,I also want such an album
1207665342624983_1209408615783989,0,A lot of adventures
1206733242718193_1215487531842764,0,Will it be possible to order a card from the website
1198355176889333_1198679193523598,0,Confluence of Mtkrvi and Aragvi
1196168460441338_1198322836892567,0,Well who can guess who is the wolf in sheeps clothing D Bank  d
1190036001054584_1190161781042006,0,You are beautiful my homeland
1183067815084736_1183093115082206,0,This program is this one
1183067815084736_1184020568322794,0,Nice sisdok
1174591395932378_1176798435711674,1,Well I pay by card but Im sure I wont win unfortunately
1174591395932378_1179058158819035,0,May God help you in peace Congratulations and good luck
5281344398590370_960511321288326,3, Freedom is the bright future of these children for me freedom is in education
5279396765451800_497560171867787,0,We are Georgia
5262508673807276_5263544377037039,0,Everything is very good but the track on the video clip is very abnormal and unworldly  Listen to me somewhere otherwise Ill go crazy
5262508673807276_1449597902157082,0,Good luck to Georgia
5262508673807276_557457586005912,0,Wow its very cool bravo 
5255072961217514_416426826718945,0,Very good lady 
5255072961217514_466738758543099,0,I already know him for sure
5255072961217514_410116477647891,0,good luck
1173795996011918_1185755058149345,0,How do I join the game
1171976839527167_1172630492795135,0,It will be the best if you make happy people  Those who have a job and a good income are already happy  May you make many people happy With good wishes 
1159500017441516_1161427327248785,1,I won 5 GEL D
1157067414351443_1160107510714100,0,Is it profitable to pay with your card in public transport
1155893724468812_1155912527800265,1,I also pay by card and why cant I get it 
1147427591982092_1147433368648181,0,How sad I was I wanted it too 
1147427591982092_1148694878522030,0,I am from Paranz Qatar Kuzde Kuz Faiz
1144415495616635_1165309946860523,0,What do I have to do to enter the draw with this card
1141545149237003_1142708675787317,0,Do not tell what is happening
1140170836041101_1140340796024105,1,Its very cool Super
1137633086294876_1138244836233701,0,Are the pharmacy terminals also available
1134743319917186_1136050856453099,0,Do I have to pay 2 GEL every time Is it better to pay 60 at the end of the month 
1134272616630923_1134478649943653,0,04 sky for Anakom soup D
1121233651268153_1121456237912561,1,I changed it
1121129947945190_1121323301259188,1,Its a great idea 
1120611901330328_1120983887959796,0,Independence is when you can go shopping alone D Independence is the ability to take responsibility and the ability to deal with problems in various situations without help Independence is when you can help someone else with something
1117844364940415_1120522031339315,0,Its the other way around and you know better than to suck blood from peoples veins
1104560612935457_1104678152923703,0,And wasnt it all before
1104560612935457_1105144792877039,1,There is no separate currency conversion Separate accounts are not divided into currencies I cant understand what currency is in which currency It will show me either the sum of all currencies in dollars or in GEL I want to know exactly how much I have in dollars and how much in GEL
1063448913713294_1068740156517503,0,502 Does it not work on Android
1063400663718119_1063436790381173,1,I havent found this app yet
1063400663718119_1063664580358394,1,click  Its a very good name Bravo 
1063400663718119_1064421553616030,0,Httptskappge does not open at all
1045451748846344_1053192911405561,0,Dobrjj Dan Ja 26 god plavaju v holodnoj vode Lucchie record Voda 8 degrees Water at 0 degrees for 20 minutes I found it in 2500 meters Proplkl bolshe 5000 kilometers I sat down with the money I paid for it and I paid for it Advertisement Paris Presentation Jubilee Dni Rozhdenii Videoclip Privlechenie sponsorov i metsenatov
1040934952631357_1041209399270579,8,And if only there were links on the page of Instagram and the NBA itself because you bothered me so much  Its still good
1038331782891674_1038568459534673,1,hmm Is this some new topic First time I understand at all
1027568887301297_1031441206914065,0,Even the Bank of Georgia The most convenient the most cultural service 
1024834944241358_1024922154232637,0,Congratulations 3
1024811637577022_1024857444239108,31,Yes I congratulate you but all this is the merit of the people of Rome you know very well Lower the interest on the loan and raise the interest on the deposit  Ps Since I have enriched your pocket I dont know whether I should be happy or not your success
1024811637577022_1024958570895662,0,Congratulations and best of luck
5238922209499256_975162136518583,0,Orange is the same red 
5234295359961941_1202773933909561,0,I love the Bank of Georgia It is the coolest bank in Georgia It broadcasts TBC
5234295359961941_699591437967619,0,As always super ads
5234295359961941_686224489304750,0,You are cool the first in Georgia
5234295359961941_5234593003265510,0,Anita Leladze Anni Iremadze Lizi Chikhladze Liza Jomidava Gio Kikvadze 
